datetime,00060_from dcp_Maximum,00060_from dcp_Maximum_cd,site_no,00060_from dcp_Minimum,00060_from dcp_Minimum_cd,00060_from dcp_Mean,00060_from dcp_Mean_cd
2015-07-27 00:00:00+00:00,325.0,A,08049300,260.0,A,292.0,A
2015-07-28 00:00:00+00:00,323.0,A,08049300,256.0,A,290.0,A
2015-07-29 00:00:00+00:00,308.0,A,08049300,250.0,A,284.0,A
2015-07-30 00:00:00+00:00,289.0,A,08049300,202.0,A,235.0,A
2015-07-31 00:00:00+00:00,221.0,A,08049300,174.0,A,201.0,A
2015-08-01 00:00:00+00:00,214.0,A,08049300,164.0,A,194.0,A
2015-08-02 00:00:00+00:00,214.0,A,08049300,152.0,A,186.0,A
2015-08-03 00:00:00+00:00,205.0,A,08049300,158.0,A,188.0,A
2015-08-04 00:00:00+00:00,214.0,A,08049300,155.0,A,181.0,A
2015-08-05 00:00:00+00:00,200.0,A,08049300,160.0,A,183.0,A
2015-08-06 00:00:00+00:00,207.0,A,08049300,163.0,A,189.0,A
2015-08-07 00:00:00+00:00,202.0,A,08049300,158.0,A,184.0,A
2015-08-08 00:00:00+00:00,202.0,A,08049300,149.0,A,178.0,A
2015-08-09 00:00:00+00:00,209.0,A,08049300,154.0,A,183.0,A
2015-08-10 00:00:00+00:00,202.0,A,08049300,155.0,A,182.0,A
2015-08-11 00:00:00+00:00,197.0,A,08049300,152.0,A,179.0,A
2015-08-12 00:00:00+00:00,195.0,A,08049300,157.0,A,180.0,A
2015-08-13 00:00:00+00:00,190.0,A,08049300,148.0,A,175.0,A
2015-08-14 00:00:00+00:00,195.0,A,08049300,151.0,A,178.0,A
2015-08-15 00:00:00+00:00,202.0,A,08049300,146.0,A,176.0,A
2015-08-16 00:00:00+00:00,202.0,A,08049300,146.0,A,176.0,A
2015-08-17 00:00:00+00:00,198.0,A,08049300,155.0,A,181.0,A
2015-08-18 00:00:00+00:00,193.0,A,08049300,151.0,A,177.0,A
