datetime,00060_from dcp_Mean,00060_from dcp_Mean_cd,site_no
1970-09-05 00:00:00+00:00,131.0,A,08057300
1970-09-06 00:00:00+00:00,110.0,A,08057300
1970-09-07 00:00:00+00:00,94.0,A,08057300
1970-09-08 00:00:00+00:00,81.0,A,08057300
1970-09-09 00:00:00+00:00,69.0,A,08057300
1970-09-10 00:00:00+00:00,37.0,A,08057300
1970-09-11 00:00:00+00:00,50.0,A,08057300
1970-09-12 00:00:00+00:00,41.0,A,08057300
1970-09-13 00:00:00+00:00,45.0,A,08057300
1970-09-14 00:00:00+00:00,57.0,A,08057300
1970-09-15 00:00:00+00:00,50.0,A,08057300
1970-09-16 00:00:00+00:00,47.0,A,08057300
1970-09-17 00:00:00+00:00,88.0,A,08057300
1970-09-18 00:00:00+00:00,87.0,A,08057300
1970-09-19 00:00:00+00:00,77.0,A,08057300
1970-09-20 00:00:00+00:00,66.0,A,08057300
1970-09-21 00:00:00+00:00,58.0,A,08057300
1970-09-22 00:00:00+00:00,50.0,A,08057300
1970-09-23 00:00:00+00:00,70.0,A,08057300
1970-09-24 00:00:00+00:00,84.0,A,08057300
1970-09-25 00:00:00+00:00,75.0,A,08057300
1970-09-26 00:00:00+00:00,72.0,A,08057300
1970-09-27 00:00:00+00:00,71.0,A,08057300
1970-09-28 00:00:00+00:00,65.0,A,08057300
1970-09-29 00:00:00+00:00,22.0,A,08057300
1970-09-30 00:00:00+00:00,0.0,A,08057300
1970-10-01 00:00:00+00:00,57.0,A,08057300
1970-10-02 00:00:00+00:00,54.0,A,08057300
1970-10-03 00:00:00+00:00,49.0,A,08057300
1970-10-04 00:00:00+00:00,45.0,A,08057300
1970-10-05 00:00:00+00:00,41.0,A,08057300
1970-10-06 00:00:00+00:00,39.0,A,08057300
1970-10-07 00:00:00+00:00,35.0,A,08057300
1970-10-08 00:00:00+00:00,34.0,A,08057300
1970-10-09 00:00:00+00:00,34.0,A,08057300
1970-10-10 00:00:00+00:00,30.0,A,08057300
1970-10-11 00:00:00+00:00,40.0,A,08057300
1970-10-12 00:00:00+00:00,80.0,A,08057300
1970-10-13 00:00:00+00:00,78.0,A,08057300
1970-10-14 00:00:00+00:00,69.0,A,08057300
1970-10-15 00:00:00+00:00,58.0,A,08057300
1970-10-16 00:00:00+00:00,52.0,A,08057300
1970-10-17 00:00:00+00:00,48.0,A,08057300
1970-10-18 00:00:00+00:00,43.0,A,08057300
1970-10-19 00:00:00+00:00,39.0,A,08057300
1970-10-20 00:00:00+00:00,12.0,A,08057300
1970-10-21 00:00:00+00:00,3.3,A,08057300
1970-10-22 00:00:00+00:00,3.7,A,08057300
1970-10-23 00:00:00+00:00,22.0,A,08057300
1970-10-24 00:00:00+00:00,55.0,A,08057300
1970-10-25 00:00:00+00:00,55.0,A,08057300
1970-10-26 00:00:00+00:00,54.0,A,08057300
1970-10-27 00:00:00+00:00,51.0,A,08057300
1970-10-28 00:00:00+00:00,46.0,A,08057300
1970-10-29 00:00:00+00:00,42.0,A,08057300
1970-10-30 00:00:00+00:00,39.0,A,08057300
1970-10-31 00:00:00+00:00,34.0,A,08057300
1970-11-01 00:00:00+00:00,30.0,A,08057300
1970-11-02 00:00:00+00:00,26.0,A,08057300
1970-11-03 00:00:00+00:00,25.0,A,08057300
1970-11-04 00:00:00+00:00,27.0,A,08057300
1970-11-05 00:00:00+00:00,25.0,A,08057300
1970-11-06 00:00:00+00:00,21.0,A,08057300
1970-11-07 00:00:00+00:00,17.0,A,08057300
1970-11-08 00:00:00+00:00,14.0,A,08057300
1970-11-09 00:00:00+00:00,22.0,A,08057300
1970-11-10 00:00:00+00:00,31.0,A,08057300
1970-11-11 00:00:00+00:00,29.0,A,08057300
1970-11-12 00:00:00+00:00,26.0,A,08057300
1970-11-13 00:00:00+00:00,27.0,A,08057300
1970-11-14 00:00:00+00:00,32.0,A,08057300
1970-11-15 00:00:00+00:00,30.0,A,08057300
1970-11-16 00:00:00+00:00,26.0,A,08057300
1970-11-17 00:00:00+00:00,24.0,A,08057300
